SectionCode,Course_No,Section_Name,FacultyID
3001,BIT111L,a,1034
3002,BIT111L,b,735
3003,BIT112L,a,1034
3004,BIT121L,a,735
3005,BIT121L,b,735
3006,BIT121L,c,735
3007,BIT122L,a,1034
3006,BIT123L,a,1034
3007,BIT211L,a,1000
3008,BIT212L,a,1010
3009,BIT213L,a,1034
3010,BIT214L,a,735
3011,BIT215L,a,1010
3012,BIT216L,a,735
3013,BIT221L,a,1000
3014,BIT222L,a,1000
3015,BIT223L,a,1010
3016,BIT224L,a,1001
3017,BIT311L,a,1001
3018,BIT312L,a,735
3019,BIT313L,a,1001
3020,BIT314L,a,735
3021,BIT315L,a,1034
3022,BIT316L,a,735
3023,BIT321L,a,1001
3024,BIT322L,a,1010
3025,BIT323L,a,1000
3026,BIT324L,a,735
3027,BIT411L,a,1001
3028,BIT412L,a,1000
3029,BIT421L,a,1000
3030,BIT-SPE1,a,1034
3031,BIT-SPE2,a,735
3032,BIT-SPE3,a,735
